airline_id,name,code_type,iata_code,icao_code,country,region,status,active,website,wikidata_id,notes
2B,OJSC AK BARS AERO,iata,2B,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
2I,Star Peru,iata,2I,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
2J,Air Burkina,iata,2J,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
2K,Aerogal,iata,2K,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
2L,Helvetic Airways,iata,2L,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
2N,Nextjet,iata,2N,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
2O,Island Air Service,iata,2O,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
2P,PAL Express,iata,2P,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3B,Job Air - Central Connect Airlines,iata,3B,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3F,Pacific Airways Inc,iata,3F,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3G,Gambia Bird Airlines Ltd.,iata,3G,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3H,Air Inuit,iata,3H,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3J,Jubba Airways Ltd,iata,3J,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3K,Jetstar Asia,iata,3K,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3L,Intersky,iata,3L,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3M,Silver Airways Corp,iata,3M,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3O,Air Arabia Maroc,iata,3O,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3P,Tiara Air Aruba,iata,3P,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3R,Gromov Air,iata,3R,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3S,Air Antilles,iata,3S,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
3U,Sichuan Airlines,iata,3U,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4D,Air Sinai,iata,4D,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4E,Tanana Air Service,iata,4E,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4G,Gazpromavia,iata,4G,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4H,United Airways Bangladesh,iata,4H,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4K,Kenn Borek Air,iata,4K,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4M,LanArgentina,iata,4M,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4N,Air North,iata,4N,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4O,Interjet,iata,4O,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4Q,Safi Airways,iata,4Q,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4T,Belair Airlines,iata,4T,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4U,germanwings,iata,4U,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4W,Warbelow,iata,4W,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
4Y,Flight Alaska,iata,4Y,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5C,NatureAir,iata,5C,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5G,Fly 540 Ghana,iata,5G,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5H,Five Forty Aviation,iata,5H,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5J,Cebu Pacific Air,iata,5J,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5M,FlyMontserrat,iata,5M,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5N,Nordavia - Regional Airlines,iata,5N,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5P,Aerolinea Principal,iata,5P,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5Q,BQB Air,iata,5Q,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
5T,Canadian North,iata,5T,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
6E,IndiGo Air,iata,6E,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
6H,Israir,iata,6H,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
6J,Jubba Airways,iata,6J,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
6L,Aklak Air,iata,6L,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
6T,Air Mandalay Ltd,iata,6T,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
6W,Saratov Airlines,iata,6W,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
7C,Jeju Airlines,iata,7C,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
7E,Sylt Air,iata,7E,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
